cod_reg,regione,cod_prov,provincia,comune,cod_istat,flag,arr_tot_res,arr_tot_nonres,arr_tot_tot,arr_alb_res,arr_alb_nonres,arr_alb_tot,arr_ext_res,arr_ext_nonres,arr_ext_tot,col16,pre_tot_res,pre_tot_nonres,pre_tot_tot,pre_alb_res,pre_alb_nonres,pre_alb_tot,pre_ext_res,pre_ext_nonres,pre_ext_tot,anno
160,PUGLIA,075,LECCE,Alezio,075003,,743.0,251.0,994.0,,,,,,,,3174.0,1147.0,4321.0,,,,,,,2016
160,PUGLIA,075,LECCE,Alliste,075004,,3278.0,570.0,3848.0,2796.0,455.0,3251.0,482.0,115.0,597.0,,14709.0,2795.0,17504.0,12644.0,2186.0,14830.0,2065.0,609.0,2674.0,2016
160,PUGLIA,075,LECCE,Andrano,075005,,345.0,71.0,416.0,,,,,,,,1391.0,290.0,1681.0,,,,,,,2016
160,PUGLIA,075,LECCE,Bagnolo del Salento,075008,,242.0,45.0,287.0,,,,,,,,1421.0,251.0,1672.0,,,,,,,2016
160,PUGLIA,075,LECCE,Cannole,075012,,5338.0,88.0,5426.0,,,,,,,,26216.0,331.0,26547.0,,,,,,,2016
160,PUGLIA,075,LECCE,Carmiano,075014,,344.0,113.0,457.0,,,,,,,,1035.0,407.0,1442.0,,,,,,,2016
160,PUGLIA,075,LECCE,Carpignano Salentino,075015,,5387.0,1572.0,6959.0,4159.0,1408.0,5567.0,1228.0,164.0,1392.0,,14910.0,6361.0,21271.0,9668.0,5574.0,15242.0,5242.0,787.0,6029.0,2016
160,PUGLIA,075,LECCE,Casarano,075016,,1963.0,231.0,2194.0,1268.0,113.0,1381.0,695.0,118.0,813.0,,6252.0,875.0,7127.0,2790.0,394.0,3184.0,3462.0,481.0,3943.0,2016
160,PUGLIA,075,LECCE,Castrignano del Capo,075019,,19486.0,5880.0,25366.0,15327.0,4871.0,20198.0,4159.0,1009.0,5168.0,,84416.0,16049.0,100465.0,70547.0,13625.0,84172.0,13869.0,2424.0,16293.0,2016
160,PUGLIA,075,LECCE,Cavallino,075020,,824.0,192.0,1016.0,,,,,,,,2776.0,672.0,3448.0,,,,,,,2016
160,PUGLIA,075,LECCE,Copertino,075022,,1632.0,62.0,1694.0,,,,,,,,4037.0,385.0,4422.0,,,,,,,2016
160,PUGLIA,075,LECCE,Corigliano d'Otranto,075023,,2576.0,1469.0,4045.0,,,,,,,,7257.0,5790.0,13047.0,,,,,,,2016
160,PUGLIA,075,LECCE,Cursi,075025,,185.0,65.0,250.0,,,,,,,,741.0,255.0,996.0,,,,,,,2016
160,PUGLIA,075,LECCE,Cutrofiano,075026,,1561.0,499.0,2060.0,,,,,,,,4475.0,1977.0,6452.0,,,,,,,2016
160,PUGLIA,075,LECCE,Diso,075027,,1673.0,582.0,2255.0,,,,,,,,27515.0,4046.0,31561.0,,,,,,,2016
160,PUGLIA,075,LECCE,Gagliano del Capo,075028,,4904.0,1566.0,6470.0,,,,,,,,25840.0,6967.0,32807.0,,,,,,,2016
160,PUGLIA,075,LECCE,Galatina,075029,,4866.0,629.0,5495.0,,,,,,,,13348.0,2001.0,15349.0,,,,,,,2016
